management,monitor,target,people,lemp_firm,export,competition,ownership,mne_country,mne_f,mne_d,degree_m,degree_nm,country,competition2004,year,sic,lb_employindex,pppgdp,,              storage  display     value
2.611111,3.4,2.8,2.333333,4.60517,,10,Dispersed Shareholders,,0,0,0,0,Canada,,2008,242,4,1298.79,,
3.833333,3.8,4,3.833333,7.600903,,3,"Family owned, family CEO",,0,0,66,,Canada,,2007,275,4,1298.79,,
2.166667,2,1.8,3,5.010635,,,"Family owned, family CEO",,0,0,80,0,Canada,,2007,201,4,1298.79,,
3,3.4,3.4,3,7.824046,,10,Other,Canada,0,1,85,15,Canada,,2007,308,4,1298.79,,
3.5,4,3.6,3.166667,5.298317,,10,Managers,Canada,0,1,44,5,Canada,,2008,349,4,1298.79,,
2.888889,3.4,2.6,2.5,7.824046,,10,Private Individuals,,0,0,0,50,Canada,,2008,201,4,1298.79,,
2.666667,2.2,2.8,3.333333,4.682131,,10,Founder,,0,0,33,5,Canada,,2008,201,4,1298.79,,
3.444444,4,3,3.333333,6.109248,,,Dispersed Shareholders,US,1,0,100,30,Canada,,2006,284,4,1298.79,,
2.777778,2.8,2.8,2.5,4.60517,,,Other,,0,0,45,14,Canada,,2008,353,4,1298.79,,
3.222222,3.2,3,3.166667,6.907755,,7,Private Equity,Canada,0,1,80,10,Canada,,2008,353,4,1298.79,,
3.388889,3.6,2.8,3.666667,4.60517,,10,Founder,,0,0,20,3,Canada,,2008,345,4,1298.79,,
2.611111,3.2,2,2.5,6.214608,,10,Private Equity,Canada,0,1,80,0,Canada,,2008,203,4,1298.79,,
3.333333,3.8,2.4,3.5,5.857933,,,Private Individuals,,0,0,100,50,Canada,,2008,283,4,1298.79,,
3.055556,3.8,2.6,2.666667,5.991465,,8,Dispersed Shareholders,US,1,0,11,0,Canada,,2008,322,4,1298.79,,
3.777778,4.2,3.8,3.166667,4.60517,,4,Dispersed Shareholders,US,1,0,90,20,Canada,,2008,286,4,1298.79,,
3.833333,4.4,3.4,3.5,6.907755,,,Dispersed Shareholders,UK,1,0,0,3,Canada,,2008,325,4,1298.79,,
3.222222,3.6,3,2.833333,7.377759,,4,Dispersed Shareholders,Canada,0,1,29,1,Canada,,2008,372,4,1298.79,,
2.055556,2.6,2,2,6.476973,,8,"Family owned, family CEO",,0,0,0,0,Canada,,2008,243,4,1298.79,,
3.722222,3.8,3.2,3.666667,5.298317,,10,Dispersed Shareholders,US,1,0,50,12,Canada,,2008,353,4,1298.79,,
2.111111,2,2.4,2.333333,6.476973,,10,Founder,Canada,0,1,0,0,Canada,,2008,232,4,1298.79,,
2.944444,3.6,2.6,2.333333,5.347107,,10,"Family owned, external CEO",,0,0,30,1,Canada,,2008,251,4,1298.79,,
2.777778,3.2,2.2,2.833333,5.521461,,3,Private Equity,Canada,0,1,40,0,Canada,,2008,332,4,1298.79,,
3.222222,3.8,3.2,2.166667,5.192957,,3,Private Individuals,,0,0,50,3,Canada,,2008,254,4,1298.79,,
2.833333,2.6,2.2,3.333333,4.60517,,5,Private Individuals,,0,0,3,3,Canada,,2008,238,4,1298.79,,
2.823529,3,3.2,3,6.214608,,10,"Family owned, family CEO",,0,0,6,1,Canada,,2008,289,4,1298.79,,
2.388889,2.2,2.2,2.833333,4.787492,,10,Founder,,0,0,0,22,Canada,,2008,259,4,1298.79,,
3.833333,4.6,3.6,3.166667,7.313221,,6,Private Individuals,US,1,0,100,3,Canada,,2008,229,4,1298.79,,
3.111111,3.2,3.4,2.666667,7.313221,,10,Private Individuals,Canada,0,1,75,8,Canada,,2008,209,4,1298.79,,
3.166667,3.8,3.4,2.5,5.568345,,5,Private Individuals,,0,0,50,0,Canada,,2007,284,4,1298.79,,
2,2.6,2.2,1.666667,6.214608,,6,Founder,,0,0,45,8,Canada,,2007,267,4,1298.79,,
3.388889,4.2,3.4,2.666667,6.684612,,,Other,Australia,1,0,50,0,Canada,,2007,282,4,1298.79,,
2.666667,3,3,2.666667,5.521461,,10,"Family owned, family CEO",Canada,0,1,10,5,Canada,,2007,267,4,1298.79,,
2.388889,3.2,2,1.666667,5.298317,,10,"Family owned, family CEO",,0,0,7,0,Canada,,2008,314,4,1298.79,,
3.111111,3.6,3,2.666667,4.867535,,5,"Family owned, family CEO",,0,0,13,,Canada,,2008,254,4,1298.79,,
3.722222,4.4,3.6,3.166667,8.411833,,8,Dispersed Shareholders,US,1,0,50,5,Canada,,2008,343,4,1298.79,,
1.944444,2.2,1.8,2.166667,4.60517,,1,Private Individuals,,0,0,0,3,Canada,,2007,271,4,1298.79,,
2.555556,3.4,2,2.666667,4.60517,,10,Private Individuals,US,1,0,0,0,Canada,,2008,275,4,1298.79,,
2.333333,2.4,1.8,2.5,5.010635,,10,Other,,0,0,0,0,Canada,,2008,254,4,1298.79,,
4.277778,4.2,3.8,4.666667,5.703783,,7,Private Equity,US,1,0,100,7,Canada,,2008,335,4,1298.79,,
2.888889,3.4,2.6,3,6.39693,,10,"Family owned, family CEO",Canada,0,1,50,10,Canada,,2007,353,4,1298.79,,
3.611111,4.2,3.2,3.166667,5.703783,,10,Private Individuals,Canada,0,1,100,6,Canada,,2008,354,4,1298.79,,
3.5,4.2,3.4,2.833333,8.006368,,,Dispersed Shareholders,US,1,0,35,5,Canada,,2007,261,4,1298.79,,
3.777778,4.4,3.6,3.333333,5.02388,,,Private Individuals,,0,0,50,50,Canada,,2008,344,4,1298.79,,
3.777778,4.4,3.4,3.333333,5.010635,,10,Other,Sweden,1,0,100,2,Canada,,2007,305,4,1298.79,,
3.555556,3.4,3.8,3.333333,5.010635,,10,Dispersed Shareholders,France,1,0,90,2,Canada,,2008,281,4,1298.79,,
2.444444,2,2.8,2.166667,5.521461,,,Founder,,0,0,95,,Canada,,2008,232,4,1298.79,,
3.388889,4.4,2.8,2.5,4.882802,,10,Other,,0,0,43,2,Canada,,2008,349,4,1298.79,,
2.888889,2.6,2.4,3.5,5.298317,,4,Founder,,0,0,16,,Canada,,2008,249,4,1298.79,,
3.833333,4.4,3.8,3.333333,8.517193,,10,Dispersed Shareholders,Japan,1,0,75,25,Canada,,2008,371,4,1298.79,,
2.555556,3.2,2.6,2,4.905275,,,Dispersed Shareholders,US,1,0,50,50,Canada,,2007,276,4,1298.79,,
3.888889,4.4,4.4,3,7.863267,,6,Founder,Luxembourg,1,0,40,25,Canada,,2008,331,4,1298.79,,
3.944444,4.2,4.2,3.333333,5.298317,,10,"Family owned, family CEO",,0,0,33,12,Canada,,2008,308,4,1298.79,,
2.666667,2.4,3,2.5,7.090077,,2,Other,Switzerland,1,0,60,2,Canada,,2008,289,4,1298.79,,
3.611111,4.2,3.6,2.833333,8.006368,,3,Private Equity,UK,1,0,60,6,Canada,,2008,204,4,1298.79,,
2.444444,3.2,1.6,2.333333,5.521461,,10,Private Individuals,,0,0,50,10,Canada,,2006,306,4,1298.79,,
2.555556,3.4,2.2,2.333333,5.192957,,,Private Individuals,,0,0,80,20,Canada,,2008,371,4,1298.79,,
2.611111,3.2,2.2,3,4.828314,,8,Founder,,0,0,33,5,Canada,,2008,393,4,1298.79,,
1.888889,2.6,1.6,1.833333,5.075174,,,Private Individuals,,0,0,40,10,Canada,,2008,267,4,1298.79,,
2.833333,3.6,2.4,2.5,5.857933,,10,"Family owned, family CEO",US,1,0,0,1,Canada,,2007,306,4,1298.79,,
2.333333,2.2,2.8,2.166667,5.438079,,10,Managers,,0,0,3,0,Canada,,2008,209,4,1298.79,,
3.777778,4.2,4.2,3,7.414573,,2,Dispersed Shareholders,UK,1,0,80,0,Canada,,2008,339,4,1298.79,,
3.222222,4.2,3,2.333333,6.39693,,10,Private Individuals,,0,0,75,4,Canada,,2008,275,4,1298.79,,
3.388889,3.2,3.6,3,5.010635,,3,Dispersed Shareholders,,0,0,0,0,Canada,,2008,275,4,1298.79,,
4.055555,4.6,4,3.333333,6.214608,,10,Dispersed Shareholders,Canada,0,1,40,5,Canada,,2008,275,4,1298.79,,
3.444444,3.4,3.8,3,5.783825,,10,Dispersed Shareholders,Canada,0,1,50,8,Canada,,2006,275,4,1298.79,,
3.277778,3.6,3,2.666667,6.907755,,4,Private Equity,Sweden,1,0,20,0,Canada,,2009,278,4,1298.79,,
3,3.8,2.4,2.666667,5.153292,,10,Private Equity,US,1,0,80,,Canada,,2008,308,4,1298.79,,
2.611111,2.4,3,2.333333,5.298317,,2,Private Individuals,,0,0,43,2,Canada,,2007,355,4,1298.79,,
4,4.4,3.2,4.333333,5.703783,,0,Private Equity,,0,0,50,7,Canada,,2008,372,4,1298.79,,
4.222222,5,3.8,4,7.600903,,10,Private Individuals,,0,0,100,12,Canada,,2004,327,4,1298.79,,
2.833333,2.8,2,3.333333,5.886104,,10,Private Individuals,,0,0,40,5,Canada,,2008,243,4,1298.79,,
2.666667,3,2.4,3.166667,5.347107,,,Private Individuals,,0,0,40,5,Canada,,2008,327,4,1298.79,,
3.333333,3.2,3.4,3.333333,4.65396,,,Founder,,0,0,90,50,Canada,,2008,384,4,1298.79,,
3.222222,3.6,3.4,2.666667,5.703783,,6,Private Equity,,0,0,0,3,Canada,,2007,265,4,1298.79,,
1.444444,2,1.4,1.166667,4.70048,,10,Private Individuals,,0,0,100,0,Canada,,2008,225,4,1298.79,,
3.222222,4,2.6,2.5,5.010635,,5,Managers,,0,0,17,0,Canada,,2008,239,4,1298.79,,
4.444445,4.8,4.4,4.333333,7.824046,,10,Dispersed Shareholders,Canada,0,1,50,20,Canada,,2008,282,4,1298.79,,
3.833333,4,3.8,3.5,5.192957,,10,Private Individuals,,0,0,95,1,Canada,,2005,395,4,1298.79,,
2,2.4,1.6,2.333333,5.220356,,10,Private Individuals,Germany,1,0,50,0,Canada,,2008,354,4,1298.79,,
2.777778,3.4,3,2.5,7.313221,,,Dispersed Shareholders,US,1,0,58,5,Canada,,2008,242,4,1298.79,,
4.166667,4.4,4.4,4,5.966147,,7,Dispersed Shareholders,,0,0,90,8,Canada,,2008,262,4,1298.79,,
4,4.2,4.2,3.5,6.684612,,10,Managers,Switzerland,1,0,5,10,Canada,,2008,333,4,1298.79,,
3.777778,4,3,3.833333,5.991465,,10,Private Individuals,,0,0,60,10,Canada,,2008,306,4,1298.79,,
2.777778,3.6,2.6,2.833333,6.214608,,10,Managers,US,1,0,30,1,Canada,,2007,308,4,1298.79,,
2.277778,3,1.6,2.166667,4.941642,,10,Private Individuals,US,1,0,,,Canada,,2008,379,4,1298.79,,
3.444444,3.6,3.8,3,6.907755,,4,Private Individuals,Switzerland,1,0,17,0,Canada,,2008,243,4,1298.79,,
3.055556,4,3.2,2.166667,5.703783,,2,Dispersed Shareholders,US,1,0,75,20,Canada,,2007,371,4,1298.79,,
3.277778,3.8,3,3.333333,6.802395,,3,Private Individuals,Switzerland,1,0,45,2,Canada,,2007,206,4,1298.79,,
2.388889,3,1.8,2,5.560682,,10,"Family owned, family CEO",,0,0,1,2,Canada,,2008,308,4,1298.79,,
4.5,4.8,4.6,4.5,5.857933,,6,Dispersed Shareholders,Canada,0,1,100,15,Canada,,2008,287,4,1298.79,,
1.777778,1.8,1.8,2,5.010635,,,"Family owned, family CEO",,0,0,,,Canada,,2008,327,4,1298.79,,
2.555556,3.4,2.6,2.333333,4.60517,,3,Private Individuals,France,1,0,0,33,Canada,,2008,295,4,1298.79,,
3.888889,4.2,3.4,4.166667,6.684612,,1,Private Individuals,Canada,0,1,80,5,Canada,,2006,271,4,1298.79,,
3.166667,3.4,3,3.166667,4.60517,,,Dispersed Shareholders,,0,0,100,,Canada,,2007,287,4,1298.79,,
3.444444,3,3.4,3.666667,5.105946,,10,Founder,,0,0,0,1,Canada,,2007,331,4,1298.79,,
2.555556,3,2.4,2.333333,8.006368,,10,Founder,,0,0,66,0,Canada,,2008,243,4,1298.79,,
3.277778,3.6,3.6,2.833333,5.991465,,,Dispersed Shareholders,US,1,0,75,,Canada,,2008,345,4,1298.79,,
3.444444,3.8,2.6,3.666667,6.907755,,,Private Individuals,Canada,0,1,60,3,Canada,,2008,325,4,1298.79,,
3,4.2,3.2,1.833333,4.905275,,10,Private Individuals,,0,0,57,0,Canada,,2008,206,4,1298.79,,
3.777778,3.6,3.6,4,8.294049,,5,Dispersed Shareholders,US,1,0,67,3,Canada,,2008,353,4,1298.79,,
2.888889,3.2,2.8,2.833333,5.010635,,10,Private Individuals,US,1,0,33,5,Canada,,2005,204,4,1298.79,,
2.647059,3.4,2.8,2.4,5.298317,,,Dispersed Shareholders,US,1,0,100,4,Canada,,2008,208,4,1298.79,,
4.5,4.8,4.4,4.166667,5.129899,,10,Dispersed Shareholders,Canada,0,1,12,0,Canada,,2008,242,4,1298.79,,
3.888889,4.6,4,3.333333,6.003887,,2,Dispersed Shareholders,US,1,0,100,12,Canada,,2008,208,4,1298.79,,
3.444444,3.8,3.6,3,5.57973,,,Dispersed Shareholders,Brazil,1,0,100,25,Canada,,2006,331,4,1298.79,,
3.444444,4,2.6,3.333333,7.600903,,,Private Individuals,US/Germany/Japan,1,0,25,0,Canada,,2008,305,4,1298.79,,
3,3,3.2,2.833333,6.684612,,10,Founder,,0,0,50,20,Canada,,2008,353,4,1298.79,,
2.5,2.8,2.2,2.5,5.598422,,,Private Individuals,Canada,0,1,40,8,Canada,,2009,308,4,1298.79,,
3.666667,4,3.6,3,6.907755,,5,Founder,Canada,0,1,100,30,Canada,,2008,349,4,1298.79,,
2.764706,2.8,2.6,2.4,5.480639,,,Founder,,0,0,50,0,Canada,,2008,252,4,1298.79,,
2.666667,3,2.6,2.5,6.152733,,,Dispersed Shareholders,US,1,0,25,0,Canada,,2005,245,4,1298.79,,
2.888889,3.8,3.4,2.333333,8.160519,,,Private Equity,Canada,0,1,0,0,Canada,,2007,242,4,1298.79,,
2.777778,3.2,3,2.333333,5.703783,,,"Family owned, family CEO",,0,0,50,0,Canada,,2006,241,4,1298.79,,
3.333333,3.4,3.6,3,8.160519,,,Dispersed Shareholders,Canada,0,1,90,20,Canada,,2008,291,4,1298.79,,
4.277778,4.6,4.4,4,5.298317,,10,Private Individuals,Canada,0,1,0,1,Canada,,2008,399,4,1298.79,,
2.722222,3.2,3,2.166667,4.60517,,10,Private Individuals,,0,0,25,24,Canada,,2008,271,4,1298.79,,
3.722222,4.2,4.2,3,4.60517,,10,Dispersed Shareholders,Canada,0,1,40,0,Canada,,2008,291,4,1298.79,,
4.055555,4.6,4,3.5,4.941642,,10,"Family owned, family CEO",US,1,0,100,10,Canada,,2008,261,4,1298.79,,
2.470588,3.2,2.8,2,5.416101,,8,Founder,,0,0,50,5,Canada,,2008,329,4,1298.79,,
2.235294,2.2,2.2,2.8,4.60517,,,Dispersed Shareholders,,0,0,20,0,Canada,,2006,356,4,1298.79,,
3.555556,4,3.2,3.333333,5.703783,,,Private Individuals,,0,0,50,0,Canada,,2008,344,4,1298.79,,
3.722222,4.2,3.6,3.333333,5.298317,,10,Founder,,0,0,25,0,Canada,,2008,347,4,1298.79,,
3,3.2,2.4,3.5,5.298317,,10,"Family owned, family CEO",,0,0,25,10,Canada,,2008,232,4,1298.79,,
2.666667,3,3.2,2.5,5.308268,,10,Other,,0,0,0,8,Canada,,2008,399,4,1298.79,,
3.5,4,3.6,3,4.60517,,10,Private Individuals,Germany,1,0,60,10,Canada,,2008,242,4,1298.79,,
2.166667,1.8,2,2.166667,4.60517,,10,Founder,,0,0,43,2,Canada,,2008,265,4,1298.79,,
2.833333,3.8,2.8,1.833333,5.010635,,10,Private Individuals,,0,0,25,0,Canada,,2007,242,4,1298.79,,
1.944444,2.4,2,1.833333,4.828314,,10,Founder,,0,0,67,0,Canada,,2008,242,4,1298.79,,
2.5,3.2,2.4,1.666667,6.224558,,3,Private Equity,,0,0,,,Canada,,2008,353,4,1298.79,,
3.5,3.8,3.8,2.666667,4.60517,,10,"Family owned, external CEO",Canada,0,1,67,2,Canada,,2008,203,4,1298.79,,
3.722222,4.4,3.6,3.333333,5.393628,,10,Founder,Canada,0,1,12,1,Canada,,2007,359,4,1298.79,,
2.777778,3,2.8,2.666667,6.39693,,,Private Equity,Canada,0,1,72,29,Canada,,2006,344,4,1298.79,,
3.777778,3.8,4.4,2.833333,5.298317,,6,Dispersed Shareholders,US,1,0,50,,Canada,,2008,267,4,1298.79,,
3.444444,3.8,3.4,3,4.941642,,,Founder,Canada,0,1,25,8,Canada,,2008,265,4,1298.79,,
3.444444,4,2.8,3.5,4.787492,,4,Dispersed Shareholders,US,1,0,80,,Canada,,2008,341,4,1298.79,,
3.166667,3.4,2.8,3,5.521461,,,Dispersed Shareholders,US,1,0,25,5,Canada,,2008,267,4,1298.79,,
3.055556,2.8,2.4,3.833333,6.39693,,,Private Equity,Canada,0,1,100,0,Canada,,2008,282,4,1298.79,,
2.833333,3.2,3.2,2.833333,5.298317,,3,Dispersed Shareholders,Luxembourg,1,0,32,10,Canada,,2008,331,4,1298.79,,
2.333333,2.2,3,2.333333,6.214608,,1,Dispersed Shareholders,,0,0,2,,Canada,,2008,271,4,1298.79,,
2.555556,3.2,2.4,2.5,6.907755,,10,Private Individuals,,0,0,0,0,Canada,,2008,243,4,1298.79,,
3.444444,4.2,3,3,5.298317,,,Private Equity,Germany,1,0,40,10,Canada,,2008,371,4,1298.79,,
3.444444,3.6,4,2.666667,5.135798,,5,Dispersed Shareholders,US,1,0,75,25,Canada,,2008,362,4,1298.79,,
3.222222,3.4,3,3.333333,8.294049,,5,Other,US,1,0,47,4,Canada,,2008,353,4,1298.79,,
2.833333,3.2,3.4,2.666667,7.824046,,10,Dispersed Shareholders,,0,0,29,4,Canada,,2008,276,4,1298.79,,
2.944444,3.6,3.6,1.833333,5.135798,,3,Private Individuals,Canada,0,1,80,1,Canada,,2008,335,4,1298.79,,
1.666667,1.6,1.4,1.5,6.684612,,3,Private Equity,,0,0,67,0,Canada,,2008,289,4,1298.79,,
3.611111,4,3,3.5,5.075174,,,Dispersed Shareholders,US,1,0,100,10,Canada,,2008,353,4,1298.79,,
4,4.2,3,4.333333,6.55108,,10,Dispersed Shareholders,Canada,0,1,67,5,Canada,,2009,201,4,1298.79,,
3.166667,3.8,3.4,2.833333,6.39693,,10,Other,Canada,0,1,50,0,Canada,,2006,209,4,1298.79,,
2.823529,3.4,2.4,2.2,5.587249,,10,Private Individuals,Germany,1,0,0,0,Canada,,2007,371,4,1298.79,,
3,3.6,2.4,3.166667,5.857933,,5,Private Individuals,France,1,0,,,Canada,,2007,353,4,1298.79,,
3.277778,3.8,2.6,3.333333,5.075174,,,Private Individuals,Canada,0,1,75,5,Canada,,2007,285,4,1298.79,,
2.555556,2,2.8,2.666667,4.70048,,10,Founder,,0,0,0,0,Canada,,2008,308,4,1298.79,,
2.555556,3,1.6,2.833333,4.60517,,,"Family owned, family CEO",,0,0,33,0,Canada,,2008,391,4,1298.79,,
2.111111,1.6,2.8,2.333333,4.867535,,10,Private Individuals,,0,0,33,0,Canada,,2008,241,4,1298.79,,
2.611111,3.2,2.2,2.166667,5.991465,,4,Founder,Canada,0,1,50,5,Canada,,2007,353,4,1298.79,,
1.944444,1.4,1.6,3,5.043425,,4,Private Individuals,,0,0,0,2,Canada,,2008,349,4,1298.79,,
2.666667,3.2,2,2.5,5.703783,,10,Founder,,0,0,50,,Canada,,2008,365,4,1298.79,,
3.888889,4.4,3.8,3.5,6.55108,,6,Private Equity,,0,0,50,20,Canada,,2008,259,4,1298.79,,
3.5,4,3.2,3.333333,5.416101,,,Dispersed Shareholders,US,1,0,100,50,Canada,,2009,267,4,1298.79,,
3.944444,3.6,4.4,3.833333,4.787492,,5,Founder,,0,0,100,0,Canada,,2007,336,4,1298.79,,
3.611111,4.4,3.4,3,4.744932,,5,Private Equity,US,1,0,20,3,Canada,,2008,251,4,1298.79,,
2.333333,2.2,2.2,3,6.39693,,6,Founder,Canada,0,1,33,5,Canada,,2008,275,4,1298.79,,
3.555556,4,3.4,3,8.294049,,5,Dispersed Shareholders,US,1,0,50,0,Canada,,2008,358,4,1298.79,,
2.888889,3.2,2.4,2.833333,6.55108,,10,Other,UK,1,0,100,,Canada,,2008,353,4,1298.79,,
3.111111,4.2,2.6,2.333333,4.60517,,4,Private Individuals,Belgium,1,0,63,0,Canada,,2008,305,4,1298.79,,
2.888889,3.2,3.2,2.5,7.824046,,10,Private Equity,Canada,0,1,50,1,Canada,,2008,243,4,1298.79,,
4.444445,5,4.4,3.833333,5.521461,,,Dispersed Shareholders,Japan,1,0,100,10,Canada,,2008,371,4,1298.79,,
2.555556,3,2.6,2.666667,5.857933,,10,Founder,,0,0,22,0,Canada,,2008,355,4,1298.79,,
2.555556,2.6,2.8,2.833333,5.135798,,10,Founder,,0,0,20,4,Canada,,2007,275,4,1298.79,,
3.388889,3.6,2.8,3.666667,6.214608,,,Private Individuals,,0,0,33,5,Canada,,2008,201,4,1298.79,,
3.111111,4,3,2.5,7.130899,,10,Founder,Canada,0,1,50,5,Canada,,2008,306,4,1298.79,,
2.111111,2,1.6,2.333333,4.65396,,10,Founder,Canada,0,1,25,0,Canada,,2008,252,4,1298.79,,
2.833333,3.2,3,3,4.941642,,10,Dispersed Shareholders,US,1,0,100,9,Canada,,2007,287,4,1298.79,,
3.5,4,3.4,3.333333,4.875197,,10,"Family owned, family CEO",,0,0,0,0,Canada,,2008,356,4,1298.79,,
2.944444,3.6,2.2,2.666667,5.521461,,10,Founder,Canada,0,1,67,1,Canada,,2008,371,4,1298.79,,
3.388889,4,3,3.166667,6.907755,,,Private Individuals,,0,0,75,5,Canada,,2006,308,4,1298.79,,
3.944444,4.2,4,3.5,5.991465,,6,"Family owned, family CEO",Canada,0,1,30,,Canada,,2008,352,4,1298.79,,
3.722222,4.4,3.2,3.166667,6.684612,,10,Dispersed Shareholders,Switzerland,1,0,10,0,Canada,,2008,344,4,1298.79,,
2.722222,3,2.6,2.666667,5.347107,,,Founder,Canada,0,1,99,,Canada,,2008,382,4,1298.79,,
3.388889,3.8,3.4,3,5.521461,,,Dispersed Shareholders,,0,0,75,2,Canada,,2008,242,4,1298.79,,
4.555555,5,5,3.666667,5.081404,,5,Dispersed Shareholders,US,1,0,50,20,Canada,,2008,205,4,1298.79,,
4.277778,4.6,4,4.5,5.703783,,10,Private Individuals,Canada,0,1,0,0,Canada,,2008,346,4,1298.79,,
2.722222,3.2,2.2,2.5,4.787492,,4,Private Individuals,Canada,0,1,67,10,Canada,,2006,354,4,1298.79,,
2.722222,3.6,2.6,2.666667,5.298317,,,Founder,,0,0,0,0,Canada,,2008,278,4,1298.79,,
4.222222,4.8,4.4,3.5,6.214608,,10,Dispersed Shareholders,Brazil,1,0,85,10,Canada,,2008,331,4,1298.79,,
4.055555,4.2,3.8,4,6.476973,,2,Private Individuals,,0,0,50,0,Canada,,2008,367,4,1298.79,,
3.444444,4,3.4,3,5.298317,,9,Dispersed Shareholders,US,1,0,70,,Canada,,2008,331,4,1298.79,,
3.111111,3.6,2.6,3.166667,8.006368,,7,"Family owned, family CEO",,0,0,50,0,Canada,,2008,242,4,1298.79,,
2.722222,2.8,2.6,2.833333,6.907755,,5,Managers,,0,0,75,,Canada,,2008,201,4,1298.79,,
3.888889,4.6,3.6,3.166667,5.991465,,10,Dispersed Shareholders,Japan,1,0,50,,Canada,,2008,253,4,1298.79,,
2.888889,3.4,2.8,2.333333,4.828314,,,Private Individuals,Germany,1,0,0,0,Canada,,2007,327,4,1298.79,,
2.647059,3.6,2.6,1.8,8.242756,,10,"Family owned, family CEO",,0,0,15,0,Canada,,2007,242,4,1298.79,,
3.5,4.6,3.2,2.666667,5.298317,,6,Private Individuals,US,1,0,32,0,Canada,,2008,308,4,1298.79,,
3.722222,3.8,3.4,3.666667,5.298317,,3,Dispersed Shareholders,US,1,0,80,35,Canada,,2007,208,4,1298.79,,
3.388889,3.8,3.6,2.833333,5.010635,,4,Dispersed Shareholders,US,1,0,38,0,Canada,,2008,327,4,1298.79,,
4.111111,4.2,4,3.833333,6.214608,,4,Dispersed Shareholders,US,1,0,20,0,Canada,,2008,372,4,1298.79,,
2.555556,3.2,2.6,2.5,4.787492,,10,Founder,,0,0,55,25,Canada,,2008,259,4,1298.79,,
3.833333,4.4,3.8,3,6.907755,,2,Founder,,0,0,33,,Canada,,2008,346,4,1298.79,,
4.555555,5,4.8,4,7.600903,,10,Private Individuals,Canada,0,1,10,10,Canada,,2008,346,4,1298.79,,
3.277778,4,3.2,2.666667,4.70048,,10,Private Individuals,,0,0,50,10,Canada,,2008,335,4,1298.79,,
3.5,3.8,4,2.666667,8.006368,,10,Private Individuals,Canada,0,1,50,,Canada,,2008,205,4,1298.79,,
3.277778,3.8,3.4,2.833333,8.101678,,,"Family owned, external CEO",US,1,0,70,1,Canada,,2008,208,4,1298.79,,
2.555556,2.8,2.6,2.666667,5.991465,,0,"Family owned, family CEO",,0,0,0,0,Canada,,2008,308,4,1298.79,,
4.444445,4.8,4.2,4.333333,6.856462,,10,Dispersed Shareholders,UK,1,0,65,15,Canada,,2008,333,4,1298.79,,
3.5,4,3.8,2.833333,5.857933,,5,Private Individuals,,0,0,0,1,Canada,,2008,349,4,1298.79,,
3.176471,4.4,3.2,1.8,4.941642,,,Dispersed Shareholders,Canada,0,1,85,2,Canada,,2008,242,4,1298.79,,
3.444444,4,3.4,2.833333,7.824046,,10,"Family owned, external CEO",,0,0,0,0,Canada,,2008,265,4,1298.79,,
3.833333,4.2,4,3.166667,6.309918,,2,Private Individuals,,0,0,24,0,Canada,,2008,399,4,1298.79,,
2.388889,3,2.2,2.5,5.991465,,5,Dispersed Shareholders,US,1,0,90,70,Canada,,2008,204,4,1298.79,,
3,2.8,3,3.333333,5.02388,,6,Government,Norway,1,0,80,7,Canada,,2008,287,4,1298.79,,
3.277778,3.6,3.6,3.5,5.370638,,10,Other,,0,0,80,20,Canada,,2009,202,4,1298.79,,
2.944444,3.2,3.4,2.5,5.783825,,5,Private Individuals,Portugal,1,0,60,,Canada,,2008,249,4,1298.79,,
4.166667,4.2,4.2,3.833333,4.787492,,10,Dispersed Shareholders,US,1,0,63,12,Canada,,2006,355,4,1298.79,,
3.222222,4,3.6,2.5,5.010635,,7,Dispersed Shareholders,US,1,0,50,25,Canada,,2008,263,4,1298.79,,
2.944444,3.6,2.8,2.5,4.744932,,5,Dispersed Shareholders,Japan,1,0,60,43,Canada,,2008,356,4,1298.79,,
3.166667,3.6,3,2.666667,6.907755,,10,Private Equity,France,1,0,50,10,Canada,,2008,331,4,1298.79,,
2.888889,2.8,3,3.333333,4.867535,,10,Private Individuals,,0,0,40,24,Canada,,2008,355,4,1298.79,,
2.666667,3.6,2.2,2.333333,7.244227,,3,Private Equity,Canada,0,1,70,10,Canada,,2006,286,4,1298.79,,
2.388889,2.6,1.8,2.333333,5.669881,,4,Private Individuals,,0,0,100,0,Canada,,2008,271,4,1298.79,,
4.111111,4,4,4.166667,8.006368,,8,Private Individuals,,0,0,75,1,Canada,,2008,252,4,1298.79,,
3.611111,4.2,3.8,3.166667,8.160519,,10,Dispersed Shareholders,US,1,0,100,4,Canada,,2006,203,4,1298.79,,
2.611111,3.6,1.6,2.666667,5.347107,,10,"Family owned, family CEO",,0,0,20,2,Canada,,2008,353,4,1298.79,,
3.722222,4.2,4.4,3,6.64379,,10,Private Individuals,Canada,0,1,40,10,Canada,,2006,275,4,1298.79,,
2.666667,2.8,2.8,2.5,4.60517,,10,"Family owned, family CEO",,0,0,100,0,Canada,,2006,345,4,1298.79,,
3.722222,3.6,4.4,3.5,7.600903,,9,Private Individuals,Belgium,1,0,42,2,Canada,,2008,349,4,1298.79,,
3.277778,3.8,3,3.333333,7.17012,,5,Private Individuals,France,1,0,90,40,Canada,,2008,351,4,1298.79,,
2.888889,3.4,2.2,3,6.907755,,10,Dispersed Shareholders,US,1,0,50,60,Canada,,2006,367,4,1298.79,,
